,representative
0,Virginia Foxx
1,Virginia Foxx
2,Virginia Foxx
3,Virginia Foxx
4,Alan S. Lowenthal
5,Aston Donald McEachin
6,Austin Scott
7,Thomas Suozzi
8,Thomas Suozzi
9,Thomas Suozzi
10,Thomas Suozzi
11,Thomas Suozzi
12,Thomas Suozzi
13,Thomas Suozzi
14,Virginia Foxx
15,Virginia Foxx
16,Virginia Foxx
17,Virginia Foxx
18,Virginia Foxx
19,Virginia Foxx
20,Virginia Foxx
21,Virginia Foxx
22,Susie Lee
23,Susie Lee
24,Susie Lee
25,Susie Lee
26,Susie Lee
27,Susie Lee
28,Susie Lee
29,Susie Lee
30,Susie Lee
31,Susie Lee
32,Susie Lee
33,Susie Lee
34,Susie Lee
35,Susie Lee
36,Susie Lee
37,Susie Lee
38,Susie Lee
39,Susie Lee
40,Susie Lee
41,Susie Lee
42,Susie Lee
43,Susie Lee
44,Susie Lee
45,Susie Lee
46,Susie Lee
47,Susie Lee
48,Susie Lee
49,Susie Lee
50,Susie Lee
51,Susie Lee
52,Susie Lee
53,Alan S. Lowenthal
54,Alan S. Lowenthal
55,Alan S. Lowenthal
56,Mr. TJ John (Tj) Cox
57,Alan S. Lowenthal
58,Alan S. Lowenthal
59,Alan S. Lowenthal
60,Alan S. Lowenthal
61,Alan S. Lowenthal
62,Alan S. Lowenthal
63,Alan S. Lowenthal
64,Alan S. Lowenthal
65,Alan S. Lowenthal
66,Alan S. Lowenthal
67,Alan S. Lowenthal
68,Alan S. Lowenthal
69,Mo Brooks
70,Mo Brooks
71,Mo Brooks
72,Mo Brooks
73,Mo Brooks
74,Mo Brooks
75,Alan S. Lowenthal
76,Alan S. Lowenthal
77,Alan S. Lowenthal
78,Alan S. Lowenthal
79,Alan S. Lowenthal
80,Alan S. Lowenthal
81,Alan S. Lowenthal
82,Alan S. Lowenthal
83,Alan S. Lowenthal
84,Alan S. Lowenthal
85,Alan S. Lowenthal
86,Robert J. Wittman
87,Robert J. Wittman
88,Robert J. Wittman
89,Robert J. Wittman
90,Robert J. Wittman
91,Robert J. Wittman
92,Robert J. Wittman
93,Robert J. Wittman
94,Vern Buchanan
95,Lois Frankel
96,Lois Frankel
97,Lois Frankel
98,Lois Frankel
